date,Indie,FPS,isPartial
2025-02-16,30,64,False
2025-02-23,18,65,False
2025-03-02,19,62,False
2025-03-09,19,63,False
2025-03-16,19,60,False
2025-03-23,19,62,False
2025-03-30,19,65,False
2025-04-06,19,59,False
2025-04-13,20,60,False
2025-04-20,25,60,False
2025-04-27,24,60,False
2025-05-04,29,60,False
2025-05-11,22,60,False
2025-05-18,21,57,False
2025-05-25,21,58,False
2025-06-01,22,63,False
2025-06-08,26,64,False
2025-06-15,22,63,False
2025-06-22,22,63,False
2025-06-29,22,62,False
2025-07-06,22,61,False
2025-07-13,23,66,False
2025-07-20,24,72,False
2025-07-27,27,77,False
2025-08-03,36,87,False
2025-08-10,36,100,False
2025-08-17,34,91,False
2025-08-24,30,87,False
2025-08-31,33,95,False
2025-09-07,33,93,False
2025-09-14,33,85,False
2025-09-21,33,86,False
2025-09-28,34,87,False
2025-10-05,31,84,False
2025-10-12,31,89,False
2025-10-19,32,85,False
2025-10-26,30,75,False
2025-11-02,31,78,False
2025-11-09,33,83,False
2025-11-16,35,86,False
2025-11-23,34,94,False
2025-11-30,42,90,False
2025-12-07,41,85,False
2025-12-14,44,88,False
2025-12-21,38,87,False
2025-12-28,32,84,False
2026-01-04,34,82,False
2026-01-11,38,84,False
2026-01-18,39,84,False
2026-01-25,43,90,False
2026-02-01,38,71,False
2026-02-08,41,64,False
2026-02-15,47,71,True
